id;sentence_1;sentence_2;label
73;The ancient Egyptian Queen Nefertiti has long been the center of a mystery.;Modern smartphones can recognize faces using artificial intelligence.;0
74;The Hubble Space Telescope is in orbit around Earth as a floating observatory.;The city council approved funding for a new public park.;0
75;The crayon is a drawing implement made of clay, chalk, plumbago, dry color, and wax.;Online banking allows customers to manage accounts remotely.;0
76;The faster you drive, the more fuel you're using. ;The documentary explored ancient marine ecosystems.;0
77;Gamma-ray bursts are flashes  of gamma rays associated with extremely energetic explosions that have been observed in distant galaxies.;The hotel offers free breakfast to all guests.;0
78;Auroras are caused by the sun. ;The company launched a new mobile application.;0
79;Communities all over the world use regional spices to further preserve and enhance their foods.;The train arrived late due to signal failures.;0
80;Magma released from a volcano is known as lava.;Digital artists often work using graphic tablets.;0
81;Carbon dioxide was discovered by a Belgian chemist named Jan Baptista van Helmont.;The school organized a sports competition for students.;0
82;The conference focused on advances in renewable energy.;Penguins rely on dense feathers to survive cold climates.;0
83;Learning a second language improves cognitive flexibility.;The bakery closes early on public holidays.;0
84;Rainfall patterns strongly influence agricultural productivity.;The movie received mixed reviews from critics.;0
85;The engineer optimized the system to reduce power consumption.;Tourists gathered to watch the fireworks display.;0
86;Social media platforms shape modern communication habits.;The mountain trail was covered in snow during winter.;0
87;Vaccination programs have reduced the spread of infectious diseases.;The artist painted the landscape using oil colors.;0
88;Urban planning affects traffic congestion in large cities.;The dog slept quietly near the fireplace.;0
89;Quantum computing promises breakthroughs in complex problem solving.;The supermarket expanded its frozen food section.;0
90;Economic inflation reduces purchasing power over time.;The children played hide-and-seek in the garden.;0
91;Satellite imagery helps monitor climate change.;The restaurant serves traditional homemade desserts.;0
92;Psychological stress can negatively affect physical health.;The bookshelf collapsed under the weight of old books.;0
93;Autonomous vehicles rely on sensors and machine learning algorithms.;The concert ended with a standing ovation.;0
94;Renewable energy sources reduce dependence on fossil fuels.;The cat jumped onto the windowsill.;0
95;Online education platforms provide flexible learning opportunities.;The river flooded after several days of heavy rain.;0
96;Advances in medical imaging improve disease diagnosis.;The chef sharpened his knives before cooking.;0
97;Blockchain technology enables decentralized transactions.;The painting was displayed in the museum lobby.;0
98;Sleep deprivation reduces concentration and memory performance.;The bus driver greeted passengers cheerfully.;0
99;Genetic mutations can influence disease susceptibility.;The store offered discounts during the holiday season.;0
100;Climate models help predict future environmental changes.;The musician tuned his guitar before the performance.;0
